,Frame#,Time,AlejandroMask:HeadTopX7,AlejandroMask:HeadTopY7,AlejandroMask:HeadTopZ7,AlejandroMask:HeadFrontX5,AlejandroMask:HeadFrontY5,AlejandroMask:HeadFrontZ5,HeadFront5MAG,AlejandroMask:LP1X46,LHandMaxPosY,LHandPosXMean,LHandPosYMean,LHandPosZMean,RHandPosXMean,RHandPosYMean,RHandPosZMean,BothHandMaxPosY,LHandVelocity,RHandVelocity,HeadMaxPosY,HeadVelocity,HeadPosXMean,HeadPosYMean,DistanceChestToLeftArm,DistanceChestToRightArm,DistanceChestToArmsMax,ShoulderVelocity
34,38,0.316667,0.188747,1.71666,0.339361,0.144062,1.73021,0.485374,0.000173210854163,0.339683,0.77857,0.7327225,0.7181807,0.6031357,-0.0712765,0.7327225,0.5239322,0.797323,0.000614615326851,0.000297519747244,1.73021,0.000206642202853,0.132422,1.1329466,0.829461464153,0.578857031044,0.829461464153,0.000167011975619
35,39,0.325,0.188688,1.71665,0.339527,0.144081,1.73019,0.485545,0.000171604195753,0.340253,0.778388,0.7327305,0.7180583,0.6029465,-0.0710663,0.7327305,0.524078,0.79736,0.000582815579751,0.000302512809646,1.73019,0.000208830074462,0.1323992,1.1329412,0.829525501908,0.578741470835,0.829525501908,0.000174427635425
36,40,0.333333,0.188619,1.71665,0.339664,0.144099,1.73016,0.485713,0.000169189243157,0.340715,0.778229,0.7327485,0.7179509,0.6027738,-0.0708658,0.7327485,0.52423,0.797393,0.000569509438026,0.000276931399448,1.73016,0.00019622690947,0.132376,1.1329372,0.829581303661,0.578622730949,0.829581303661,0.000176332073089
37,41,0.341667,0.188544,1.71667,0.339819,0.1441,1.73014,0.485881,0.000162864974749,0.341014,0.778086,0.732759,0.7178451,0.6026096,-0.0706707,0.732759,0.5243867,0.797434,0.000483836749328,0.00028215066897,1.73014,0.000184891860286,0.1323456,1.132942,0.829635322902,0.578510902802,0.829635322902,0.000184954048347
38,42,0.35,0.188461,1.71669,0.339964,0.144095,1.73011,0.486041,0.000169958818541,0.341388,0.777956,0.7327705,0.717752,0.6024675,-0.0704847,0.7327705,0.5245498,0.79746,0.000443407262006,0.000264697941057,1.73011,0.000191585490056,0.1323168,1.1329412,0.829688615893,0.578411094376,0.829688615893,0.000180324707126
39,43,0.358333,0.18838,1.7167,0.340107,0.14408,1.7301,0.48621,0.000163477827243,0.34175,0.777821,0.7327702,0.7176572,0.602312,-0.0703108,0.7327702,0.5247039,0.797466,0.00046930800121,0.00026401515108,1.7301,0.000186263254562,0.1322804,1.1329446,0.829728477581,0.578316582769,0.829728477581,0.000173948268172
40,44,0.366667,0.188294,1.71671,0.340241,0.144071,1.73008,0.486372,0.000163929863051,0.342151,0.777691,0.7327582,0.7175746,0.6021533,-0.0701423,0.7327582,0.5248471,0.79746,0.000452059730567,0.000230291120107,1.73008,0.000191530676394,0.1322466,1.1329428,0.829753162168,0.578246956549,0.829753162168,0.000188087745481
41,45,0.375,0.188218,1.71671,0.340373,0.144048,1.73007,0.486534,0.000147516100816,0.342484,0.777576,0.7327562,0.7174995,0.602025,-0.0700037,0.7327562,0.5249908,0.797482,0.000399387030335,0.000215861066429,1.73007,0.000190517715712,0.1322086,1.1329424,0.829782181718,0.578165552386,0.829782181718,0.000186002688153
42,46,0.383333,0.188118,1.71671,0.340486,0.144023,1.73005,0.486678,0.000148111444527,0.342688,0.777513,0.7327446,0.7174364,0.6019082,-0.0698733,0.7327446,0.5251283,0.797501,0.000345094190041,0.00020701932277,1.73005,0.000191222383627,0.1321644,1.1329378,0.82978878573,0.578099819605,0.82978878573,0.000205479926027
43,47,0.391667,0.188018,1.71672,0.340609,0.143989,1.73002,0.486819,0.000148761554173,0.342821,0.777415,0.732743,0.7173752,0.6017874,-0.0697662,0.732743,0.5252679,0.797517,0.000380035524655,0.000210952601311,1.73002,0.000186118241986,0.1321174,1.1329348,0.829812791931,0.57803966514,0.829812791931,0.000205426385842
44,48,0.4,0.187909,1.71673,0.340719,0.143946,1.73,0.48696,0.000142565774294,0.343045,0.77731,0.732735,0.717314,0.6016802,-0.0696654,0.732735,0.5253941,0.797516,0.000231866340809,0.000194643263433,1.73,0.00019375241934,0.132069,1.1329314,0.829822550358,0.577980365515,0.829822550358,0.000202879274447
45,49,0.408333,0.187795,1.71675,0.340828,0.143891,1.72998,0.48709,0.000136784502046,0.343257,0.77725,0.7327264,0.7172874,0.6016093,-0.0695855,0.7327264,0.5255274,0.797503,0.000255503424635,0.000190226181163,1.72998,0.000185733680306,0.1320134,1.1329314,0.829821575345,0.577936178272,0.829821575345,0.000208009615162
46,50,0.416667,0.187672,1.71677,0.340932,0.143832,1.72997,0.487213,0.000143181702742,0.343492,0.777205,0.7327059,0.7172697,0.6015279,-0.0695118,0.7327059,0.525658,0.797493,0.000171172427686,0.000173487751729,1.72997,0.000175573346497,0.1319558,1.132932,0.829795203309,0.577897415512,0.829795203309,0.000188957667217
47,51,0.425,0.187546,1.71678,0.341041,0.143767,1.72995,0.487339,0.000137306227098,0.343641,0.777182,0.7326843,0.7172582,0.601457,-0.0694696,0.7326843,0.5257839,0.797474,0.000168193341129,0.00030694299145,1.72995,0.000190068408738,0.1318926,1.1329314,0.829772852833,0.577866572439,0.829772852833,0.000186761880479
48,52,0.433333,0.187406,1.71677,0.341134,0.143704,1.72995,0.487461,0.000144775688567,0.343784,0.77717,0.7326573,0.7172575,0.6013962,-0.0694453,0.7326573,0.5259108,0.797455,0.000158675770047,0.000149515885444,1.72995,0.000180238730577,0.1318264,1.1329266,0.82974064651,0.577858945604,0.82974064651,0.00018848076825
49,53,0.441667,0.187269,1.71677,0.341238,0.143632,1.72993,0.487585,0.000142709495129,0.343871,0.777169,0.73263,0.7172645,0.6013419,-0.0694349,0.73263,0.52603,0.797433,9.85900603509e-05,0.000181154630082,1.72993,0.000192262840924,0.1317568,1.1329202,0.829706939487,0.577854930533,0.829706939487,0.000198909527173
50,54,0.45,0.187114,1.71677,0.341337,0.143557,1.72992,0.487706,0.000143223601407,0.343924,0.777178,0.7325946,0.7172766,0.6012986,-0.0694259,0.7325946,0.5261538,0.797401,0.000182803172839,0.00023017167506,1.72992,0.000183523840413,0.1316836,1.1329122,0.829659661228,0.577861119074,0.829659661228,0.00021166246715
51,55,0.458333,0.18697,1.71677,0.341442,0.14347,1.7299,0.487818,0.000140035709731,0.343752,0.777203,0.7325695,0.717296,0.6012807,-0.0694623,0.7325695,0.5262983,0.79737,7.03562363973e-05,0.000158395075681,1.7299,0.000180679273853,0.1316072,1.132906,0.82962344684,0.577869159908,0.82962344684,0.000225366368387
52,56,0.466667,0.186817,1.71679,0.341536,0.143373,1.72988,0.487917,0.000147444904964,0.343736,0.777232,0.7325392,0.7173242,0.6012581,-0.0694794,0.7325392,0.5264143,0.797334,0.000158600126103,0.000322013974852,1.72988,0.000184168401198,0.1315296,1.132904,0.829570680467,0.577879418129,0.829570680467,0.000215928228817
53,57,0.475,0.18666,1.71681,0.341625,0.143271,1.72987,0.488023,0.000153088209866,0.343673,0.777276,0.7325127,0.7173627,0.6012383,-0.069541,0.7325127,0.5265453,0.797296,0.000108083301208,0.000199025124042,1.72987,0.000193517441074,0.1314472,1.1329042,0.829527392013,0.577906913662,0.829527392013,0.000199974998437
54,58,0.483333,0.186492,1.71683,0.341707,0.143165,1.72986,0.488133,0.000170211632975,0.343597,0.777326,0.7324734,0.7174036,0.6012294,-0.0695823,0.7324734,0.5266716,0.797248,0.000192265441512,0.000159777970947,1.72986,0.000191167465851,0.1313648,1.132903,0.829465636617,0.577943566349,0.829465636617,0.000191963538205
55,59,0.491667,0.186324,1.71685,0.341796,0.143039,1.72985,0.488247,0.000165981926727,0.343484,0.777394,0.7324319,0.7174478,0.6012239,-0.0696324,0.7324319,0.5267854,0.797207,0.000155315807309,0.000171268794589,1.72985,0.000203423204183,0.131273,1.1328994,0.829399595915,0.577973462761,0.829399595915,0.000182145546199
56,60,0.5,0.186139,1.71686,0.34188,0.142916,1.72984,0.488358,0.000167302121923,0.343354,0.777461,0.7323871,0.7174963,0.6012221,-0.0696903,0.7323871,0.5269022,0.797165,0.000167293155867,0.000189934199132,1.72984,0.000201072126363,0.1311784,1.1328918,0.829325938045,0.578010133904,0.829325938045,0.000182471915647
57,61,0.508333,0.185958,1.71687,0.341967,0.142783,1.72983,0.488459,0.000164772570533,0.343206,0.777538,0.7323599,0.7175519,0.6012316,-0.0697661,0.7323599,0.5270179,0.797125,0.000199664718967,0.000183942925931,1.72983,0.000221327811176,0.1310782,1.1328846,0.829270077751,0.578032259831,0.829270077751,0.000197040604952
58,62,0.516667,0.185753,1.71689,0.342048,0.142646,1.72982,0.48855,0.000176249822695,0.34304,0.777623,0.7323249,0.7176115,0.6012424,-0.0698419,0.7323249,0.5271369,0.797079,0.000256727481973,0.000206016989591,1.72982,0.000204768161588,0.1309758,1.1328794,0.829199059602,0.578064743149,0.829199059602,0.00018976037521
59,63,0.525,0.185566,1.71691,0.342129,0.142496,1.72981,0.488642,0.000179220534538,0.342866,0.777716,0.7322811,0.7176766,0.6012457,-0.069923,0.7322811,0.5272498,0.79702,0.000261022987493,0.000182397916655,1.72981,0.000210860143223,0.130874,1.132873,0.829126158581,0.578103461152,0.829126158581,0.000182532188942
60,64,0.533333,0.185367,1.71692,0.342198,0.142338,1.7298,0.488726,0.000187307234244,0.342739,0.777793,0.7322447,0.7177251,0.6012574,-0.0700007,0.7322447,0.5273639,0.79696,0.000293341098382,0.000189765644941,1.7298,0.000206826013838,0.1307708,1.1328636,0.829066993946,0.578135702171,0.829066993946,0.000191515012466
61,65,0.541667,0.185173,1.71693,0.342269,0.142168,1.72979,0.488804,0.000198806438528,0.342529,0.777888,0.7322032,0.7177861,0.6012833,-0.0700812,0.7322032,0.5274695,0.796904,0.000270913270255,0.00018388039591,1.72979,0.000216166602416,0.1306622,1.1328542,0.829001302539,0.578171777148,0.829001302539,0.000181818590909
